Southeast Fairbanks Census Area,southeast-fairbanks-census-area-ak,1397,Alaska,02240,6918
Valdez-Cordova Census Area,valdez-cordova-census-area-ak,1397,Alaska,02261,9164
Wrangell City and Borough,wrangell-city-and-borough-ak,1397,Alaska,02275,2503
Yakutat City and Borough,yakutat-city-and-borough-ak,1397,Alaska,02282,604
Yukon-Koyukuk Census Area,yukon-koyukuk-census-area-ak,1397,Alaska,02290,5327
Apache County,apache-county-az,1398,Arizona,04001,71818
Cochise County,cochise-county-az,1398,Arizona,04003,126770
Coconino County,coconino-county-az,1398,Arizona,04005,142854
Gila County,gila-county-az,1398,Arizona,04007,53889
Graham County,graham-county-az,1398,Arizona,04009,38072
Greenlee County,greenlee-county-az,1398,Arizona,04011,9483
La Paz County,la-paz-county-az,1398,Arizona,04012,21098
Maricopa County,maricopa-county-az,1398,Arizona,04013,4410824
Mohave County,mohave-county-az,1398,Arizona,04015,209550
Navajo County,navajo-county-az,1398,Arizona,04017,110445
Pima County,pima-county-az,1398,Arizona,04019,1039073
Pinal County,pinal-county-az,1398,Arizona,04021,447138
Santa Cruz County,santa-cruz-county-az,1398,Arizona,04023,46511
Yavapai County,yavapai-county-az,1398,Arizona,04025,231993
Yuma County,yuma-county-az,1398,Arizona,04027,212128
Arkansas County,arkansas-county-ar,1399,Arkansas,05001,17769
Ashley County,ashley-county-ar,1399,Arkansas,05003,20046
Baxter County,baxter-county-ar,1399,Arkansas,05005,41619
Benton County,benton-county-ar,1399,Arkansas,05007,272608
Boone County,boone-county-ar,1399,Arkansas,05009,37480
Bradley County,bradley-county-ar,1399,Arkansas,05011,10897
Calhoun County,calhoun-county-ar,1399,Arkansas,05013,5277
Carroll County,carroll-county-ar,1399,Arkansas,05015,28223
Chicot County,chicot-county-ar,1399,Arkansas,05017,10438
Clark County,clark-county-ar,1399,Arkansas,05019,22061
Clay County,clay-county-ar,1399,Arkansas,05021,14847
Cleburne County,cleburne-county-ar,1399,Arkansas,05023,24965
Cleveland County,cleveland-county-ar,1399,Arkansas,05025,8018
Columbia County,columbia-county-ar,1399,Arkansas,05027,23537
Conway County,conway-county-ar,1399,Arkansas,05029,20891
Craighead County,craighead-county-ar,1399,Arkansas,05031,108558
Crawford County,crawford-county-ar,1399,Arkansas,05033,63406
Crittenden County,crittenden-county-ar,1399,Arkansas,05035,48342
Cross County,cross-county-ar,1399,Arkansas,05037,16676
Dallas County,dallas-county-ar,1399,Arkansas,05039,7182
Desha County,desha-county-ar,1399,Arkansas,05041,11512
Drew County,drew-county-ar,1399,Arkansas,05043,18328
Faulkner County,faulkner-county-ar,1399,Arkansas,05045,124806
Franklin County,franklin-county-ar,1399,Arkansas,05047,17810
Fulton County,fulton-county-ar,1399,Arkansas,05049,12269
Garland County,garland-county-ar,1399,Arkansas,05051,99154
Grant County,grant-county-ar,1399,Arkansas,05053,18188
Greene County,greene-county-ar,1399,Arkansas,05055,45325
Hempstead County,hempstead-county-ar,1399,Arkansas,05057,21741
Hot Spring County,hot-spring-county-ar,1399,Arkansas,05059,33701
Howard County,howard-county-ar,1399,Arkansas,05061,13341
Independence County,independence-county-ar,1399,Arkansas,05063,37678
Izard County,izard-county-ar,1399,Arkansas,05065,13593
Jackson County,jackson-county-ar,1399,Arkansas,05067,16811
Jefferson County,jefferson-county-ar,1399,Arkansas,05069,68114
Johnson County,johnson-county-ar,1399,Arkansas,05071,26742
Lafayette County,lafayette-county-ar,1399,Arkansas,05073,6682
Lawrence County,lawrence-county-ar,1399,Arkansas,05075,16434
Lee County,lee-county-ar,1399,Arkansas,05077,8985
Lincoln County,lincoln-county-ar,1399,Arkansas,05079,13383
Little River County,little-river-county-ar,1399,Arkansas,05081,12326
Logan County,logan-county-ar,1399,Arkansas,05083,21737
Lonoke County,lonoke-county-ar,1399,Arkansas,05085,73657
Madison County,madison-county-ar,1399,Arkansas,05087,16481
Marion County,marion-county-ar,1399,Arkansas,05089,16722
Miller County,miller-county-ar,1399,Arkansas,05091,43592
Mississippi County,mississippi-county-ar,1399,Arkansas,05093,41239
Monroe County,monroe-county-ar,1399,Arkansas,05095,6900
Montgomery County,montgomery-county-ar,1399,Arkansas,05097,8924
Nevada County,nevada-county-ar,1399,Arkansas,05099,8326
Newton County,newton-county-ar,1399,Arkansas,05101,7805
Ouachita County,ouachita-county-ar,1399,Arkansas,05103,23606
Perry County,perry-county-ar,1399,Arkansas,05105,10352
Phillips County,phillips-county-ar,1399,Arkansas,05107,18029
Pike County,pike-county-ar,1399,Arkansas,05109,10673
Poinsett County,poinsett-county-ar,1399,Arkansas,05111,23974
Polk County,polk-county-ar,1399,Arkansas,05113,20049
Pope County,pope-county-ar,1399,Arkansas,05115,64000
Prairie County,prairie-county-ar,1399,Arkansas,05117,8074
Pulaski County,pulaski-county-ar,1399,Arkansas,05119,392680
Randolph County,randolph-county-ar,1399,Arkansas,05121,17948
St. Francis County,st-francis-county-ar,1399,Arkansas,05123,25439
Saline County,saline-county-ar,1399,Arkansas,05125,121421
Scott County,scott-county-ar,1399,Arkansas,05127,10319
Searcy County,searcy-county-ar,1399,Arkansas,05129,7958
Sebastian County,sebastian-county-ar,1399,Arkansas,05131,127753
Sevier County,sevier-county-ar,1399,Arkansas,05133,17139
Sharp County,sharp-county-ar,1399,Arkansas,05135,17366
Stone County,stone-county-ar,1399,Arkansas,05137,12457
Union County,union-county-ar,1399,Arkansas,05139,39126
Van Buren County,van-buren-county-ar,1399,Arkansas,05141,16603
Washington County,washington-county-ar,1399,Arkansas,05143,236961
White County,white-county-ar,1399,Arkansas,05145,78727
Woodruff County,woodruff-county-ar,1399,Arkansas,05147,6490
Yell County,yell-county-ar,1399,Arkansas,05149,21535
Alameda County,alameda-county-ca,1400,California,06001,1666753
Alpine County,alpine-county-ca,1400,California,06003,1101
Amador County,amador-county-ca,1400,California,06005,39383
Butte County,butte-county-ca,1400,California,06007,231256
Calaveras County,calaveras-county-ca,1400,California,06009,45602
Colusa County,colusa-county-ca,1400,California,06011,21627
Contra Costa County,contra-costa-county-ca,1400,California,06013,1150215
Del Norte County,del-norte-county-ca,1400,California,06015,27828
El Dorado County,el-dorado-county-ca,1400,California,06017,190678
Fresno County,fresno-county-ca,1400,California,06019,994400
Glenn County,glenn-county-ca,1400,California,06021,28047
Humboldt County,humboldt-county-ca,1400,California,06023,136373
Imperial County,imperial-county-ca,1400,California,06025,181827
Inyo County,inyo-county-ca,1400,California,06027,17987
Kern County,kern-county-ca,1400,California,06029,896764
Kings County,kings-county-ca,1400,California,06031,151366
Lake County,lake-county-ca,1400,California,06033,64382
Lassen County,lassen-county-ca,1400,California,06035,30802
Los Angeles County,los-angeles-county-ca,1400,California,06037,10105518
Madera County,madera-county-ca,1400,California,06039,157672
Marin County,marin-county-ca,1400,California,06041,259666
Mariposa County,mariposa-county-ca,1400,California,06043,17471
Mendocino County,mendocino-county-ca,1400,California,06045,87606
Merced County,merced-county-ca,1400,California,06047,274765
Modoc County,modoc-county-ca,1400,California,06049,8777
Mono County,mono-county-ca,1400,California,06051,14250
Monterey County,monterey-county-ca,1400,California,06053,435594
Napa County,napa-county-ca,1400,California,06055,139417
Nevada County,nevada-county-ca,1400,California,06057,99696
Orange County,orange-county-ca,1400,California,06059,3185968
Placer County,placer-county-ca,1400,California,06061,393149
Plumas County,plumas-county-ca,1400,California,06063,18804
Riverside County,riverside-county-ca,1400,California,06065,2450758
Sacramento County,sacramento-county-ca,1400,California,06067,1540975
San Benito County,san-benito-county-ca,1400,California,06069,61537
San Bernardino County,san-bernardino-county-ca,1400,California,06071,2171603
San Diego County,san-diego-county-ca,1400,California,06073,3343364
San Francisco County,san-francisco-county-ca,1400,California,06075,883305
San Joaquin County,san-joaquin-county-ca,1400,California,06077,752660
San Luis Obispo County,san-luis-obispo-county-ca,1400,California,06079,284010
San Mateo County,san-mateo-county-ca,1400,California,06081,769545
Santa Barbara County,santa-barbara-county-ca,1400,California,06083,446527
Santa Clara County,santa-clara-county-ca,1400,California,06085,1937570
Santa Cruz County,santa-cruz-county-ca,1400,California,06087,274255
Shasta County,shasta-county-ca,1400,California,06089,180040
Sierra County,sierra-county-ca,1400,California,06091,2987
Siskiyou County,siskiyou-county-ca,1400,California,06093,43724
Solano County,solano-county-ca,1400,California,06095,446610
Sonoma County,sonoma-county-ca,1400,California,06097,499942
Stanislaus County,stanislaus-county-ca,1400,California,06099,549815
Sutter County,sutter-county-ca,1400,California,06101,96807
Tehama County,tehama-county-ca,1400,California,06103,63916
Trinity County,trinity-county-ca,1400,California,06105,12535
Tulare County,tulare-county-ca,1400,California,06107,465861
Tuolumne County,tuolumne-county-ca,1400,California,06109,54539
Ventura County,ventura-county-ca,1400,California,06111,850967
Yolo County,yolo-county-ca,1400,California,06113,220408
Yuba County,yuba-county-ca,1400,California,06115,78041
Adams County,adams-county-co,1401,Colorado,08001,511868
Alamosa County,alamosa-county-co,1401,Colorado,08003,16683
Arapahoe County,arapahoe-county-co,1401,Colorado,08005,651215
Archuleta County,archuleta-county-co,1401,Colorado,08007,13765
Baca County,baca-county-co,1401,Colorado,08009,3585
Bent County,bent-county-co,1401,Colorado,08011,5882
Boulder County,boulder-county-co,1401,Colorado,08013,326078
Broomfield County,broomfield-county-co,1401,Colorado,08014,69267
Chaffee County,chaffee-county-co,1401,Colorado,08015,20027
Cheyenne County,cheyenne-county-co,1401,Colorado,08017,1876
Clear Creek County,clear-creek-county-co,1401,Colorado,08019,9605
Conejos County,conejos-county-co,1401,Colorado,08021,8200
Costilla County,costilla-county-co,1401,Colorado,08023,3828
Crowley County,crowley-county-co,1401,Colorado,08025,5858
Custer County,custer-county-co,1401,Colorado,08027,4954
Delta County,delta-county-co,1401,Colorado,08029,30953
Denver County,denver-county-co,1401,Colorado,08031,716492
Dolores County,dolores-county-co,1401,Colorado,08033,2074
Douglas County,douglas-county-co,1401,Colorado,08035,342776
Eagle County,eagle-county-co,1401,Colorado,08037,54993
Elbert County,elbert-county-co,1401,Colorado,08039,26282
El Paso County,el-paso-county-co,1401,Colorado,08041,713856
Fremont County,fremont-county-co,1401,Colorado,08043,48021
Garfield County,garfield-county-co,1401,Colorado,08045,59770
Gilpin County,gilpin-county-co,1401,Colorado,08047,6121
Grand County,grand-county-co,1401,Colorado,08049,15525
Gunnison County,gunnison-county-co,1401,Colorado,08051,17246
Hinsdale County,hinsdale-county-co,1401,Colorado,08053,811
Huerfano County,huerfano-county-co,1401,Colorado,08055,6889
Jackson County,jackson-county-co,1401,Colorado,08057,1399
Jefferson County,jefferson-county-co,1401,Colorado,08059,580233
Kiowa County,kiowa-county-co,1401,Colorado,08061,1383
Kit Carson County,kit-carson-county-co,1401,Colorado,08063,7163
Lake County,lake-county-co,1401,Colorado,08065,7824
