term_id,GEOID,county_name,state_name,slug,state_id,state_term_id,census_2018_pop,pop_density_land,area_total,area_land,area_water,housing_units,pop_density_housing
1737,"0500000US08019","Clear Creek County","Colorado","clear-creek-county-co","CO",1401,9605,23,396.49,1.27,395.23,5685,14.4
1738,"0500000US08021","Conejos County","Colorado","conejos-county-co","CO",1401,8200,6.4,1290.96,3.57,1287.39,4286,3.3
1739,"0500000US08023","Costilla County","Colorado","costilla-county-co","CO",1401,3828,2.9,1230.36,3.41,1226.95,2613,2.1
1740,"0500000US08025","Crowley County","Colorado","crowley-county-co","CO",1401,5858,7.4,800.33,12.91,787.42,1559,2
1741,"0500000US08027","Custer County","Colorado","custer-county-co","CO",1401,4954,5.8,739.92,1.3,738.63,3956,5.4
1742,"0500000US08029","Delta County","Colorado","delta-county-co","CO",1401,30953,27.1,1148.6,6.55,1142.05,14572,12.8
1743,"0500000US08031","Denver County","Colorado","denver-county-co","CO",1401,716492,3922.6,154.63,1.63,153,285797,1868
1744,"0500000US08033","Dolores County","Colorado","dolores-county-co","CO",1401,2074,1.9,1068.1,1.05,1067.05,1468,1.4
1745,"0500000US08035","Douglas County","Colorado","douglas-county-co","CO",1401,342776,339.7,842.87,2.62,840.25,106859,127.2
1746,"0500000US08037","Eagle County","Colorado","eagle-county-co","CO",1401,54993,31,1691.79,7.26,1684.53,31312,18.6
1747,"0500000US08039","Elbert County","Colorado","elbert-county-co","CO",1401,26282,12.5,1851.02,".17,1850.85,8939,4.8
1748,"0500000US08041","El Paso County","Colorado","el-paso-county-co","CO",1401,713856,292.6,2129.55,2.75,2126.8,252852,118.9
1749,"0500000US08043","Fremont County","Colorado","fremont-county-co","CO",1401,48021,30.5,1533.93,".86,1533.07,19242,12.6
1750,"0500000US08045","Garfield County","Colorado","garfield-county-co","CO",1401,59770,19.1,2955.84,8.27,2947.56,23309,7.9
1751,"0500000US08047","Gilpin County","Colorado","gilpin-county-co","CO",1401,6121,36.3,150.26,".36,149.9,3560,23.7
1752,"0500000US08049","Grand County","Colorado","grand-county-co","CO",1401,15525,8,1869.59,23.26,1846.33,16061,8.7
1753,"0500000US08051","Gunnison County","Colorado","gunnison-county-co","CO",1401,17246,4.7,3259.63,20.53,3239.1,11412,3.5
1754,"0500000US08053","Hinsdale County","Colorado","hinsdale-county-co","CO",1401,811,".8,1123.17,5.92,1117.25,1388,1.2
1755,"0500000US08055","Huerfano County","Colorado","huerfano-county-co","CO",1401,6889,4.2,1593.24,2.24,1591,5075,3.2
1756,"0500000US08057","Jackson County","Colorado","jackson-county-co","CO",1401,1399,".9,1620.96,7.24,1613.72,1286,".8
1757,"0500000US08059","Jefferson County","Colorado","jefferson-county-co","CO",1401,580233,699.5,774.03,9.82,764.21,229967,300.9
1758,"0500000US08061","Kiowa County","Colorado","kiowa-county-co","CO",1401,1383,".8,1785.93,18.16,1767.77,805,".5
