Ashland,ashland-oh,3528,Ashland County,Ohio,39005,20318,40.8668|-82.3156,Ashland|America/New_York|20318|700|1840002751
Ashtabula,ashtabula-oh,3529,Ashtabula County,Ohio,39007,27840,41.8806|-80.7984,Ashtabula|America/New_York|27840|901|1840007046
Aspen,aspen-co,1776,Pitkin County,Colorado,08097,8521,39.1948|-106.8370,Aspen|America/Denver|8521|732|1840018813
Astoria,astoria-or,3694,Clatsop County,Oregon,41007,14688,46.1856|-123.8053,Astoria|America/Los_Angeles|14688|620|1840018504
Athens,athens-oh,3530,Athens County,Ohio,39009,29926,39.3269|-82.0988,Athens|America/New_York|29926|990|1840007355
Athens,athens-tx,4111,Henderson County,Texas,48213,12163,32.2053|-95.8348,Athens|America/Chicago|12163|292|1840019500
Athens,athens-tn,3963,McMinn County,Tennessee,47107,16170,35.4573|-84.6042,Athens|America/New_York|16170|338|1840013429
Athens,athens-al,1524,Limestone County,Alabama,01083,29192,34.7847|-86.9510,Athens|America/Chicago|29192|248|1840000935
Athens,athens-ga,1898,Clarke County,Georgia,13059,140169,33.9508|-83.3689,Athens|America/New_York|140169|417|1840029463
Athol,athol-ma,2713,Worcester County,Massachusetts,25027,,42.5936|-72.2302,Athol|America/New_York||1498.5|1840003141
Atlanta,atlanta-ga,1929,Fulton County,Georgia,13121,5228750,33.7626|-84.4228,Atlanta|America/New_York|5228750|1407|1840013660
Attleboro,attleboro-ma,2702,Bristol County,Massachusetts,25005,44590,41.9311|-71.2950,Attleboro|America/New_York|44590|642|1840000496
Auburn,auburn-ca,1699,Placer County,California,06061,34818,38.8950|-121.0778,Auburn|America/Los_Angeles|34818|755|1840010231
Auburn,auburn-ny,3316,Cayuga County,New York,36011,31126,42.9338|-76.5685,Auburn|America/New_York|31126|1236|1840000367
Augusta,augusta-ga,1990,Richmond County,Georgia,13245,389383,33.3645|-82.0708,Augusta|America/New_York|389383|251|1840029462
Augusta,augusta-me,2665,Kennebec County,Maine,23011,21994,44.3341|-69.7319,Augusta|America/New_York|21994|130|1840000302
Austin,austin-mn,2846,Mower County,Minnesota,27099,25321,43.6722|-92.9761,Austin|America/Chicago|25321|767|1840006830
Austin,austin-tx,4231,Travis County,Texas,48453,1638716,30.3006|-97.7517,Austin|America/Chicago|1638716|1144|1840019590
Avon,avon-co,1746,Eagle County,Colorado,08037,6541,39.6448|-106.5138,Avon|America/Denver|6541|314|1840020194
Bad Axe,bad-axe-mi,2745,Huron County,Michigan,26063,3296,43.8038|-82.9981,Bad Axe|America/Detroit|3296|511|1840003951
Bakersfield,bakersfield-ca,1683,Kern County,California,06029,574362,35.3530|-119.0360,Bakersfield|America/Los_Angeles|574362|982|1840019148
Baltimore,baltimore-md,2699,Baltimore city,Maryland,24510,2170504,39.3051|-76.6144,Baltimore|America/New_York|2170504|2917|1840001592
Bangor,bangor-me,2669,Penobscot County,Maine,23019,59107,44.8322|-68.7906,Bangor|America/New_York|59107|359|1840000238
Barre,barre-vt,4299,Washington County,Vermont,50023,20735,44.1997|-72.5083,Barre|America/New_York|20735|847|1840002186
Bartlesville,bartlesville-ok,3687,Washington County,Oklahoma,40147,39568,36.7356|-95.9451,Bartlesville|America/Chicago|39568|617|1840018977
Bastrop,bastrop-la,2629,Morehouse Parish,Louisiana,22067,12785,32.7749|-91.9058,Bastrop|America/Chicago|12785|451|1840013793
Batesville,batesville-ar,1625,Independence County,Arkansas,05063,12050,35.7687|-91.6226,Batesville|America/Chicago|12050|357|1840013398
Battle Creek,battle-creek-mi,2726,Calhoun County,Michigan,26025,76803,42.2985|-85.2296,Battle Creek|America/Detroit|76803|465|1840003176
Baytown,baytown-tx,4105,Harris County,Texas,48201,76804,29.7607|-94.9628,Baytown|America/Chicago|76804|769|1840019616
Beatrice,beatrice-ne,3170,Gage County,Nebraska,31067,12242,40.2738|-96.7455,Beatrice|America/Chicago|12242|503|1840001352
Beaumont,beaumont-tx,4127,Jefferson County,Texas,48245,148954,30.0849|-94.1451,Beaumont|America/Chicago|148954|559|1840019612
Beaver,beaver-pa,3730,Beaver County,Pennsylvania,42007,4346,40.6936|-80.3074,Beaver|America/New_York|4346|1832|1840001012
Beaver Dam,beaver-dam-wi,4542,Dodge County,Wisconsin,55027,18003,43.4688|-88.8311,Beaver Dam|America/Chicago|18003|881|1840002738
Beckley,beckley-wv,4514,Raleigh County,West Virginia,54081,59629,37.7878|-81.1841,Beckley|America/New_York|59629|666|1840006350
Bedford,bedford-pa,3731,Bedford County,Pennsylvania,42009,4499,40.0148|-78.5034,Bedford|America/New_York|4499|969|1840001396
Bellefontaine,bellefontaine-oh,3571,Logan County,Ohio,39091,13027,40.3627|-83.7630,Bellefontaine|America/New_York|13027|505|1840007233
Belleville,belleville-il,2159,St. Clair County,Illinois,17163,41649,38.5165|-89.9899,Belleville|America/Chicago|41649|694|1840007486
Bellingham,bellingham-wa,4471,Whatcom County,Washington,53073,126015,48.7543|-122.4687,Bellingham|America/Los_Angeles|126015|1241|1840018346
Beloit,beloit-wi,4582,Rock County,Wisconsin,55105,63498,42.5230|-89.0184,Beloit|America/Chicago|63498|819|1840002471
